ID,Тип,Артикул,Имя,Опубликован,Рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия скидки","Дата окончания действия скидки","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (кг)","Длина (см)","Ширина (см)","Высота (см)","Разрешить отзывы от клиентов?","Примечание к покупке","Акционная цена","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Дней срока загрузки",Родительский,"Сгруппированные товары",Апсэлы,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Fixed Tiered Prices","Tiered pricing type","Tiered pricing minimum product quantity","Percentage Tiered Prices","Название атрибута 1","Значения атрибутов 1","Видимость атрибута 1","Глобальный атрибут 1","Название атрибута 2","Значения атрибутов 2","Видимость атрибута 2","Глобальный атрибут 2","Название атрибута 3","Значения атрибутов 3","Видимость атрибута 3","Глобальный атрибут 3","Название атрибута 4","Значения атрибутов 4","Видимость атрибута 4","Глобальный атрибут 4","Название атрибута 5","Значения атрибутов 5","Видимость атрибута 5","Глобальный атрибут 5","Название атрибута 6","Значения атрибутов 6","Видимость атрибута 6","Глобальный атрибут 6","Название атрибута 7","Значения атрибутов 7","Видимость атрибута 7","Глобальный атрибут 7","Мета: _swatch_type","Мета: _tiered_price_minimum_qty","Мета: _tiered_pricing_template","Мета: _tiered_price_rules_type","Мета: _minimum_qty","Мета: _step_qty","Мета: _individual_price","Мета: product_production_time","Мета: _product_production_time","Мета: product_short_name","Мета: _product_short_name","Мета: _yoast_wpseo_primary_product_cat","Мета: _yoast_wpseo_focuskw","Мета: _yoast_wpseo_title","Мета: _yoast_wpseo_metadesc","Мета: _yoast_wpseo_linkdex","Мета: _yoast_wpseo_content_score","Мета: _yoast_wpseo_estimated-reading-time-minutes","Мета: _yoast_wpseo_wordproof_timestamp","Мета: views","Мета: Razmerykorobki_0_nazvanie_ssylki","Мета: _Razmerykorobki_0_nazvanie_ssylki","Мета: Razmerykorobki_0_ssylka","Мета: _Razmerykorobki_0_ssylka","Мета: Razmerykorobki_1_nazvanie_ssylki","Мета: _Razmerykorobki_1_nazvanie_ssylki","Мета: Razmerykorobki_1_ssylka","Мета: _Razmerykorobki_1_ssylka","Мета: Razmerykorobki","Мета: _Razmerykorobki","Мета: markakorobki_0_nazvanie_ssylki","Мета: _markakorobki_0_nazvanie_ssylki","Мета: markakorobki_0_ssylka","Мета: _markakorobki_0_ssylka","Мета: markakorobki_1_nazvanie_ssylki","Мета: _markakorobki_1_nazvanie_ssylki","Мета: markakorobki_1_ssylka","Мета: _markakorobki_1_ssylka","Мета: markakorobki","Мета: _markakorobki","Мета: colorkorobki_0_nazvanie_ssylki","Мета: _colorkorobki_0_nazvanie_ssylki","Мета: colorkorobki_0_ssylka","Мета: _colorkorobki_0_ssylka","Мета: colorkorobki","Мета: _colorkorobki"
2564,simple,,"Гофрокороб 200х150х100 мм Т22В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,150,100,1,,,17.18,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:15.18,200:14.43,500:11.68,1000:10.68",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",150,1,1,"Высота, мм",100,1,1,"Марка картона",Т22В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x150x100,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х150х100 мм Т22В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х150х100 мм Т22В бурый","Гофрокороб 200х150х100 мм Т22В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х150х100 мм Т22В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,simple,,"Гофрокороб 200х150х100 мм Т23В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,150,100,1,,,17.56,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:15.56,200:14.81,500:12.06,1000:11.06",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",150,1,1,"Высота, мм",100,1,1,"Марка картона",Т23В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x150x100,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х150х100 мм Т23В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х150х100 мм Т23В бурый","Гофрокороб 200х150х100 мм Т23В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х150х100 мм Т23В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,simple,,"Гофрокороб 200х150х150 мм Т23В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,150,150,1,,,18.62,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:16.62,200:15.87,500:13.12,1000:12.12",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",150,1,1,"Высота, мм",150,1,1,"Марка картона",Т23В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x150x150,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х150х150 мм Т23В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х150х150 мм Т23В бурый","Гофрокороб 200х150х150 мм Т23В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х150х150 мм Т23В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,simple,,"Гофрокороб 200х150х200 мм Т22В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,150,200,1,,,19.14,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:17.14,200:16.39,500:13.64,1000:12.64",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",150,1,1,"Высота, мм",200,1,1,"Марка картона",Т22В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x150x200,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х150х200 мм Т22В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х150х200 мм Т22В бурый","Гофрокороб 200х150х200 мм Т22В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х150х200 мм Т22В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,simple,,"Гофрокороб 200х150х200 мм Т23В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,150,200,1,,,19.68,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:17.68,200:16.93,500:14.18,1000:13.18",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",150,1,1,"Высота, мм",200,1,1,"Марка картона",Т23В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x150x200,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х150х200 мм Т23В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х150х200 мм Т23В бурый","Гофрокороб 200х150х200 мм Т23В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х150х200 мм Т23В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,simple,,"Гофрокороб 200х190х130 мм Т22В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,190,130,1,,,19.14,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:17.14,200:16.39,500:13.64,1000:12.64",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",190,1,1,"Высота, мм",130,1,1,"Марка картона",Т22В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x190x130,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х190х130 мм Т22В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х190х130 мм Т22В бурый","Гофрокороб 200х190х130 мм Т22В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х190х130 мм Т22В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,simple,,"Гофрокороб 200х190х130 мм Т23В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,190,130,1,,,19.68,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:17.68,200:16.93,500:14.18,1000:13.18",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",190,1,1,"Высота, мм",130,1,1,"Марка картона",Т23В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x190x130,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х190х130 мм Т23В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х190х130 мм Т23В бурый","Гофрокороб 200х190х130 мм Т23В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х190х130 мм Т23В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,simple,,"Гофрокороб 200х200х100 мм Т22В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,200,100,1,,,18.65,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:16.65,200:15.9,500:13.15,1000:12.15",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",200,1,1,"Высота, мм",100,1,1,"Марка картона",Т22В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x200x100,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х200х100 мм Т22В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х200х100 мм Т22В бурый","Гофрокороб 200х200х100 мм Т22В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х200х100 мм Т22В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,simple,,"Гофрокороб 200х200х150 мм Т22В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,200,150,1,,,19.88,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:17.88,200:17.13,500:14.38,1000:13.38",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",200,1,1,"Высота, мм",150,1,1,"Марка картона",Т22В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x200x150,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х200х150 мм Т22В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х200х150 мм Т22В бурый","Гофрокороб 200х200х150 мм Т22В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х200х150 мм Т22В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,simple,,"Гофрокороб 200х200х150 мм Т23В бурый",1,0,visible,,"",,,taxable,,1,,,0,0,,200,200,150,1,,,20.48,"4-х клапанные коробки,Коробки упаковочные, Коробки для хранения, Маленькие картонные коробки, Гофрокороба, Коробки для OZON, Коробки для Wildberries, Коробки для маркетплейсов, Для интернет магазинов",,,https://dev.gofropack.com/wp-content/uploads/2023/09/korobka34.jpg,,,,,,,,,0,"100:18.48,200:17.73,500:14.98,1000:13.98",fixed,20,,"Длина, мм",200,1,1,"Ширина, мм",200,1,1,"Высота, мм",150,1,1,"Марка картона",Т23В,1,1,"Тип картона",трехслойный,1,1,Цвет,бурый,1,1,"Размеры коробки",200x200x150,0,1,default,20,table,fixed,20,5,2000,"3-7 дней",field_64b622bf3a496,"Гофрокороб 200х200х150 мм Т23В бурый",field_63c3e58dae8bc,331,"Гофрокороб 200х200х150 мм Т23В бурый","Гофрокороб 200х200х150 мм Т23В бурый: Заказать по низкой цене от производителя Гофродом с доставкой по Москве и России","Картонная коробка Гофрокороб 200х200х150 мм Т23В бурый от производителя Гофродом. Идеальное решение для упаковки вашего товара. ✔Оптовые цены ✔Высокое качество материалов ✔Быстрая доставка по Москве и России. Заказывайте у нас: +7 (499) 288-55-69.",43,90,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
